Index,Steps,Seed: 0,Seed: 1,Seed: 2,Seed: 3,Seed: 4
0,0,21.35111,20.886957,23.900497,25.28421,22.24074
1,1200,38.70968,38.095238,47.058823,42.477875,40.677967
2,2400,80.0,64.86487,78.68852,82.75862,71.64179
3,3600,111.62791,104.347824,137.14285,160.0,137.14285
4,4800,160.0,154.83871,171.42857,192.0,165.51724
5,6000,165.51724,177.77777,171.42857,160.0,192.0
6,7200,192.0,192.0,200.0,177.77777,200.0
7,8400,200.0,184.61539,200.0,171.42857,200.0
8,9600,192.0,192.0,184.61539,192.0,184.61539
9,10800,192.0,200.0,200.0,171.42857,200.0
10,12000,200.0,184.61539,200.0,200.0,177.77777
11,13200,200.0,150.0,192.0,171.42857,192.0
12,14400,184.61539,177.77777,200.0,192.0,200.0
13,15600,200.0,165.51724,192.0,192.0,177.77777
14,16800,200.0,200.0,200.0,145.45454,177.77777
15,18000,200.0,200.0,200.0,154.83871,192.0
16,19200,200.0,192.0,192.0,171.42857,177.77777
17,20400,192.0,200.0,200.0,192.0,192.0
18,21600,200.0,200.0,200.0,184.61539,177.77777
19,22800,200.0,200.0,200.0,192.0,184.61539
20,24000,200.0,200.0,200.0,192.0,184.61539
21,25200,200.0,184.61539,200.0,192.0,192.0
22,26400,200.0,192.0,200.0,200.0,192.0
23,27600,200.0,184.61539,200.0,200.0,200.0
